,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
4778,311579,1823,,695,6359,503411,P2A-Metal work,,,0.00,23090.00,23090.00,23090.00,CL_Uniform,N,1,,,
4779,311580,1829,,695,6359,503412,P2A-External works within the Plot Curtilage,,,0.00,992.00,992.00,992.00,CL_Uniform,N,1,,,
4780,311581,1829,,695,6359,503413,P2A-External works within the Plot Curtilage,,,0.00,42745.00,42745.00,42745.00,CL_Uniform,N,1,,,
4781,311582,1829,,695,6359,503414,P2A-External works within the Plot Curtilage,,,0.00,17158.00,17158.00,17158.00,CL_Uniform,N,1,,,
4782,311583,1829,,695,6359,503415,P2A-External works within the Plot Curtilage,,,0.00,5004.00,5004.00,5004.00,CL_Uniform,N,1,,,
4783,311584,1829,,695,6359,503416,P2A-External works within the Plot Curtilage,,,0.00,23084.00,23084.00,23084.00,CL_Uniform,N,1,,,
4784,311585,1824,,695,6359,503417,P2A-Plumbing and Drainage works,,,0.00,2886.00,2886.00,2886.00,CL_Uniform,N,1,,,
4785,311586,1825,,695,6359,503418,P2A-Air-conditioning and Ventilation works,,,0.00,978.00,978.00,978.00,CL_Uniform,N,1,,,
4786,311587,1826,,695,6359,503419,P2A-Electrical Installations,,,0.00,19356.00,19356.00,19356.00,CL_Uniform,N,1,,,
4787,311588,1861,,692,6359,503420,I2B-Telecommunication,,,0.00,7328.00,7328.00,7328.00,CL_Uniform,N,1,,,
4788,311589,1861,,692,6359,503421,I2B-Telecommunication,,,0.00,2226.00,2226.00,2226.00,CL_Uniform,N,1,,,
4789,311590,1861,,692,6359,503422,I2B-Telecommunication,,,0.00,3140.00,3140.00,3140.00,CL_Uniform,N,1,,,
4790,311591,1861,,692,6359,503423,I2B-Telecommunication,,,0.00,53762.00,53762.00,53762.00,CL_Uniform,N,1,,,
4791,311592,1866,,692,6359,503424,I2B-Hard and soft landscaping,,,0.00,61885.00,61885.00,61885.00,CL_Uniform,N,1,,,
4792,311593,1866,,692,6359,503425,I2B-Hard and soft landscaping,,,0.00,88712.00,88711.96,88711.96,CL_Uniform,N,1,,,
4793,311594,1866,,692,6359,503426,I2B-Hard and soft landscaping,,,0.00,25677.00,25677.00,25677.00,CL_Uniform,N,1,,,
4794,311595,1866,,692,6359,503427,I2B-Hard and soft landscaping,,,0.00,70109.00,70109.00,70109.00,CL_Uniform,N,1,,,
4795,311596,1866,,692,6359,503428,I2B-Hard and soft landscaping,,,0.00,2138.00,2138.00,2138.00,CL_Uniform,N,1,,,
4796,311597,1864,,692,6359,503429,I2B-Road work,,,0.00,35777.00,35777.00,35777.00,CL_Uniform,N,1,,,
4797,311598,1864,,692,6359,503430,I2B-Road work,,,0.00,35777.00,35777.00,35777.00,CL_Uniform,N,1,,,
4798,311599,1864,,692,6359,503431,I2B-Road work,,,0.00,178884.00,178884.00,178884.00,CL_Uniform,N,1,,,
4799,311600,1864,,692,6359,503432,I2B-Road work,,,0.00,17888.00,17887.50,17887.50,CL_Uniform,N,0.999972,,,
4800,311601,1866,,692,6359,503433,I2B-Hard and soft landscaping,,,0.00,164540.00,164540.00,164540.00,CL_Uniform,N,1,,,
4801,311602,1866,,692,6359,503434,I2B-Hard and soft landscaping,,,0.00,29844.00,29844.00,29844.00,CL_Uniform,N,1,,,
4802,311603,1866,,692,6359,503435,I2B-Hard and soft landscaping,,,0.00,169116.00,169116.00,169116.00,CL_Uniform,N,1,,,
4803,311604,1864,,692,6359,503436,I2B-Road work,,,0.00,102151.00,102150.50,102150.50,CL_Uniform,N,0.999995,,,
4804,311605,1864,,692,6359,503437,I2B-Road work,,,0.00,116544.00,116544.00,116544.00,CL_Uniform,N,1,,,
4805,311606,1864,,692,6359,503438,I2B-Road work,,,0.00,103939.00,103939.00,103939.00,CL_Uniform,N,1,,,
4806,311607,1864,,692,6359,503439,I2B-Road work,,,0.00,58272.00,58272.00,58272.00,CL_Uniform,N,1,,,
4807,311608,1864,,692,6359,503440,I2B-Road work,,,0.00,148204.00,148204.00,148204.00,CL_Uniform,N,1,,,
4808,311609,1864,,692,6359,503441,I2B-Road work,,,0.00,77208.00,77208.00,77208.00,CL_Uniform,N,1,,,
4809,311610,1864,,692,6359,503442,I2B-Road work,,,0.00,79277.00,79277.00,79277.00,CL_Uniform,N,1,,,
4810,311611,1863,,692,6359,503443,I2B-Water supply system,,,0.00,12690.00,12690.00,12690.00,CL_Uniform,N,1,,,
