,task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
422,102139,4512,26159,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.121,NDT on Manholes & Nozzles on shell,6965,432,0,32,0,100,100,32,20,0,20,,,,2013-02-27 10:00,2013-03-02 17:00,,2013-01-12 16:00,2013-01-16 08:00,2013-01-12 16:00,2013-01-16 08:00,2013-01-12 16:00,2013-01-16 08:00,2013-02-27 10:00,2013-03-02 17:00,,PT_Normal,,,,,Y9UifEiBtU6IoTcMFLE2eQ,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
423,102140,4512,26160,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.122,Prepare Tank for Roof Contruction,6914,432,0,40,0,260,260,40,60,0,60,,,,2013-02-27 10:00,2013-03-03 15:00,,2013-01-12 16:00,2013-01-16 16:00,2013-01-12 16:00,2013-01-16 16:00,2013-01-12 16:00,2013-01-16 16:00,2013-02-27 10:00,2013-03-03 15:00,,PT_Normal,,,,,zisPnG/VNEuu3VHWmApU7A,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
424,102141,4512,26160,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.123,Install Shoe Support Structure on Shell,6964,432,0,48,0,580,580,48,120,0,120,,,,2013-03-03 15:00,2013-03-09 08:00,,2013-01-16 16:00,2013-01-22 09:00,2013-01-16 16:00,2013-01-22 09:00,2013-01-16 16:00,2013-01-22 09:00,2013-03-03 15:00,2013-03-09 08:00,,PT_Normal,,,,,rkn4XFNDzUOD8QaW34nxwA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
425,102142,4512,26160,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.124,Install / Assemble Roof Rafters,6951,432,0,104,0,1500,1500,104,300,0,300,,,,2013-03-09 08:00,2013-03-19 17:00,,2013-01-22 09:00,2013-02-01 12:30,2013-01-22 09:00,2013-02-01 12:30,2013-01-22 09:00,2013-02-01 12:30,2013-03-09 08:00,2013-03-19 17:00,,PT_Normal,,,,,b2owWjMjGkOBDfmxyanmpA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
426,102143,4512,26160,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.125,Installation of Roof Plates,6914,432,0,72,0,900,900,72,180,0,180,,,,2013-03-20 07:00,2013-03-27 14:00,,2013-02-01 12:30,2013-02-09 12:00,2013-02-01 12:30,2013-02-09 12:00,2013-02-01 12:30,2013-02-09 12:00,2013-03-20 07:00,2013-03-27 14:00,,PT_Normal,,,,,EdYYm31M4UWpZVifvZWhyg,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
427,102144,4512,26160,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.126,Install Roof Manholes & Nozzles,6964,432,0,32,0,160,160,32,30,0,30,,,,2013-03-27 14:00,2013-03-31 11:00,,2013-02-09 12:00,2013-02-12 14:00,2013-02-09 12:00,2013-02-12 14:00,2013-02-09 12:00,2013-02-12 14:00,2013-03-27 14:00,2013-03-31 11:00,,PT_Normal,,,,,d6fQWmfjVUKjpMbGlewaFg,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
428,102145,4512,26161,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.150,Concrete testing,6916,432,0,32,0,210,210,32,60,0,60,,,,2013-07-25 11:00,2013-07-29 08:00,,2013-06-09 09:00,2013-06-12 11:00,2013-06-09 09:00,2013-06-12 11:00,2013-06-09 09:00,2013-06-12 11:00,2013-07-25 11:00,2013-07-29 08:00,,PT_Normal,,,,,OOmlREt7pkuEOXioWj8PEA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
429,102146,4512,26161,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.151,RT testing for the welding,6942,432,0,40,0,240,240,40,80,0,80,,,,2013-07-29 08:00,2013-08-02 10:30,,2013-06-12 11:00,2013-06-16 16:00,2013-06-12 11:00,2013-06-16 16:00,2013-06-12 11:00,2013-06-16 16:00,2013-07-29 08:00,2013-08-02 10:30,,PT_Normal,,,,,7S8F9a9kTUi5/I0pP3Xn1g,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
430,102147,4512,26161,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.152,Sand testing,6915,432,0,40,0,240,240,40,80,0,80,,,,2013-08-02 10:30,2013-08-06 13:00,,2013-06-16 16:00,2013-06-20 16:00,2013-06-16 16:00,2013-06-20 16:00,2013-06-16 16:00,2013-06-20 16:00,2013-08-02 10:30,2013-08-06 13:00,,PT_Normal,,,,,YA+IDxWuNESVw2gECsv8ig,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
431,102148,4512,26161,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.153,Tank Calibration,6965,432,0,24,0,140,140,24,40,0,40,,,,2013-08-06 13:00,2013-08-08 17:00,,2013-06-20 16:00,2013-06-23 15:00,2013-06-20 16:00,2013-06-23 15:00,2013-06-20 16:00,2013-06-23 15:00,2013-08-06 13:00,2013-08-08 17:00,,PT_Normal,,,,,mfvTijMiOkK0B8xgwGqRZw,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
