,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
71,196,82041,829,,201326592,,
72,196,82043,829,,201326592,,
73,196,82045,829,,201326592,,
74,196,82047,829,,201326592,,
75,196,82049,829,,201326592,,
76,196,82051,829,,201326592,,
77,196,82053,829,,201326592,,
78,196,82055,829,,201326592,,
79,196,82057,829,,201326592,,
80,196,82059,829,,201326592,,
81,196,82061,829,,201326592,,
82,196,82063,829,,201326592,,
83,196,82065,829,,201326592,,
84,196,82067,829,,201326592,,
85,196,82069,829,,201326592,,
86,196,82071,829,,201326592,,
87,196,82073,829,,201326592,,
88,196,82075,829,,201326592,,
89,196,82077,829,,201326592,,
90,196,82079,829,,201326592,,
91,196,82081,829,,201326592,,
92,196,82083,829,,201326592,,
93,196,82085,829,,201326592,,
94,196,82087,829,,201326592,,
95,196,82089,829,,201326592,,
96,196,82091,829,,201326592,,
97,196,82093,829,,201326592,,
98,196,82095,829,,201326592,,
99,196,82097,829,,201326592,,
100,196,82099,829,,201326592,,
101,196,82101,829,,201326592,,
102,196,82103,829,,201326592,,
103,196,82105,829,,201326592,,
104,196,82107,829,,201326592,,
105,196,82109,829,,201326592,,
106,196,82111,829,,201326592,,
107,196,82113,829,,201326592,,
108,196,82115,829,,201326592,,
109,196,82117,829,,201326592,,
110,196,82119,829,,201326592,,
111,196,82121,829,,201326592,,
112,196,82123,829,,201326592,,
113,196,82125,829,,201326592,,
114,196,82127,829,,201326592,,
115,196,82129,829,,201326592,,
116,196,82131,829,,201326592,,
117,196,82133,829,,201326592,,
118,196,82135,829,,201326592,,
119,196,82137,829,,201326592,,
120,196,82139,829,,201326592,,
121,196,82141,829,,201326592,,
122,196,82143,829,,201326592,,
123,196,82145,829,,201326592,,
124,196,82147,829,,201326592,,
125,196,82149,829,,201326592,,
126,196,82151,829,,201326592,,
127,196,82153,829,,201326592,,
128,196,82155,829,,201326592,,
129,196,82157,829,,201326592,,
130,196,82159,829,,201326592,,
131,196,82161,829,,201326592,,
132,196,82163,829,,201326592,,
133,196,82165,829,,201326592,,
134,196,82167,829,,201326592,,
135,196,82169,829,,201326592,,
136,196,82171,829,,201326592,,
137,196,82173,829,,201326592,,
138,196,82175,829,,201326592,,
139,196,82177,829,,201326592,,
140,196,82179,829,,201326592,,
141,196,82181,829,,201326592,,
142,196,82183,829,,201326592,,
143,196,82185,829,,201326592,,
144,196,82187,829,,201326592,,
145,196,82189,829,,201326592,,
146,196,82191,829,,201326592,,
147,196,82193,829,,201326592,,
148,196,82195,829,,201326592,,
149,196,82197,829,,201326592,,
150,196,82199,829,,201326592,,
151,196,82201,829,,201326592,,
152,196,82203,829,,201326592,,
153,196,82205,829,,201326592,,
154,196,82207,829,,201326592,,
155,196,82209,829,,201326592,,
156,196,82211,829,,201326592,,
157,196,82213,829,,201326592,,
158,196,82215,829,,201326592,,
159,196,82217,829,,201326592,,
160,196,82219,829,,201326592,,
161,196,82221,829,,201326592,,
162,196,82223,829,,201326592,,
163,196,82225,829,,201326592,,
164,196,82227,829,,201326592,,
165,196,82229,829,,201326592,,
166,196,82231,829,,201326592,,
167,196,82233,829,,201326592,,
168,196,82235,829,,201326592,,
169,196,82237,829,,201326592,,
170,196,82239,829,,201326592,,
171,196,82241,829,,201326592,,
172,196,82242,829,,1,,
173,196,82243,829,,201326593,,
174,196,82244,829,,1,,
175,196,82245,829,,201326593,,
176,196,82247,829,,201326592,,
177,196,82249,829,,201326592,,
178,196,82251,829,,201326592,,
179,196,82252,829,,1,,
180,196,82253,829,,201326592,,
181,196,82255,829,,201326593,,
182,196,82257,829,,201326593,,
183,196,82259,829,,201326593,,
184,196,82261,829,,201326592,,
185,196,82262,829,,1,,
186,196,82263,829,,201326593,,
187,196,82264,829,,1,,
188,196,82265,829,,201326593,,
189,196,82267,829,,201326592,,
190,196,82269,829,,201326592,,
191,196,82271,829,,201326592,,
192,196,82273,829,,201326592,,
193,196,82274,829,,1,,
194,196,82275,829,,201326593,,
195,196,82276,829,,1,,
196,196,82277,829,,201326593,,
197,196,82278,829,,1,,
198,196,82279,829,,201326593,,
199,196,82281,829,,201326592,,
200,196,82283,829,,201326592,,
201,196,82285,829,,201326592,,
202,196,82287,829,,201326592,,
203,196,82289,829,,201326593,,
204,196,82291,829,,201326593,,
205,196,82292,829,,1,,
206,196,82293,829,,201326593,,
207,196,82295,829,,201326592,,
208,196,82297,829,,201326592,,
209,196,82299,829,,201326592,,
210,196,82301,829,,201326592,,
211,196,82305,829,,201326592,,
212,196,82307,829,,201326592,,
213,196,82312,829,,201326592,,
214,196,82317,829,,201326592,,
215,196,82321,829,,201326592,,
216,196,82323,829,,201326592,,
217,196,82327,829,,201326592,,
218,196,82329,829,,201326592,,
219,196,82333,829,,201326592,,
220,196,82336,829,,201326592,,
221,196,82338,829,,201326592,,
222,196,82341,829,,201326592,,
223,196,82343,829,,201326592,,
224,196,82347,829,,201326592,,
225,196,82349,829,,201326592,,
226,196,82357,829,,201326592,,
227,196,82359,829,,201326592,,
228,196,82372,829,,201326592,,
229,196,82374,829,,201326592,,
230,196,82377,829,,201326592,,
231,196,82379,829,,201326592,,
232,196,82381,829,,1,,
233,196,82382,829,,1,,
234,196,82383,829,,1,,
235,196,82387,829,,201326592,,
236,196,82389,829,,1,,
237,196,82390,829,,201326592,,
238,196,82391,829,,1,,
239,196,82392,829,,201326592,,
240,196,82393,829,,1,,
241,196,82394,829,,1,,
242,196,82396,829,,201326592,,
243,196,82400,829,,1,,
244,196,82401,829,,1,,
245,196,82402,829,,201326593,,
246,196,82406,829,,201326592,,
247,196,82408,829,,1,,
248,196,82409,829,,1,,
249,196,82410,829,,201326592,,
250,196,82412,829,,201326592,,
251,196,82413,829,,18,,
252,196,82414,829,,201326630,,
253,196,82415,829,,113,,
254,196,82416,829,,201326749,,
255,196,82417,829,,67,,
256,196,82418,829,,201326630,,
257,196,82419,829,,126,,
258,196,82420,829,,201326663,,
259,196,82421,829,,45,,
260,196,82422,829,,201326650,,
261,196,82423,829,,127,,
262,196,82424,829,,201326671,,
263,196,82425,829,,39,,
264,196,82426,829,,201326664,,
265,196,82427,829,,41,,
266,196,82428,829,,201326666,,
267,196,82429,829,,147,,
268,196,82430,829,,201326636,,
269,196,82431,829,,78,,
270,196,82432,829,,201326655,,
271,196,82433,829,,68,,
