,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
129,10991,806,,,2631,197746,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
130,10992,806,,,2631,197755,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
131,10993,806,,,2631,197771,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
132,10994,806,,,2631,197787,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
133,10995,806,,,2631,197803,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
134,10996,806,,,2631,197795,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
135,10997,806,,,2631,197811,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
136,10998,806,,,2631,197817,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
137,10999,806,,,2631,204053,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
138,11000,806,,,2631,204065,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
139,11001,806,,,2631,197883,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
140,11002,806,,,2631,197907,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
141,11003,806,,,2631,197947,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
142,11004,806,,,2631,197843,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
143,11005,806,,,2631,197891,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
144,11006,806,,,2631,197867,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
145,11007,806,,,2631,197851,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
146,11008,806,,,2631,197859,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
147,11009,806,,,2631,197939,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
148,11010,806,,,2631,197915,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
149,11011,806,,,2631,197923,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
150,11012,806,,,2631,197899,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
151,11013,806,,,2631,197931,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
152,11014,806,,,2631,207275,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
153,11015,806,,,2631,207299,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
154,11016,806,,,2631,207287,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
155,11018,806,,,2631,203133,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
156,11019,806,,,2631,203220,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
