,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
49,6949,6942,6590,,,,,5lDbTCfd8kiH7aN4XwyfQg,1000,,,,,Blaster,B-3,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
50,6950,6942,6590,,,,,zS6Hrkp6KE2t69P9EyDO6A,1100,,,,,Painter,P-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
51,6951,6942,6590,1575,,,,eoHXNjiI0EWlfyPpDntWLg,1,,,,,Crane Operator,CR-2,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,<HTML><BODY></BODY></HTML>,,,
52,6952,6942,6590,,,,,kFvZxRFlkEOHtOjRMHCtOA,1300,,,,,Carpenter,CR-3,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
53,6953,6942,6590,1569,,,,KxTy8/SVTESxoIp5pm2uTw,1200,,,,,Mason,M-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
54,6954,6926,6591,,,,,9I2exdGBM0afqQgEOCZOFg,21600,,,,,Soil investigation sub contractor,P4.1.1.1.1,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
55,6955,6926,6591,,,,,RIejsPOMKk+k45pqphurcA,21600,,,,,Engineering Design Calculations,P4.1.1.1.2,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
56,6956,6926,6591,,,,,lBAmtTAhk06f8Kl7P00Fzg,21600,,,,,Engineering Tank & foundation Drawings,P4.1.1.1.3,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
57,6957,6942,6590,1580,,,,HeUkIj5kr0a291yiBTjE3A,706,,,,,Scaffolder,S-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
58,6958,6942,6590,1579,,,,66vEChlOzEuywNIwVQIggA,705,,,,,Tack Welder,TW-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
59,6959,6927,6591,,,,,h1mtItemdUGfQE75MPwLBw,21600,,,,,Civil & Foundation,P4.1.1.2.6,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
60,6960,6927,6591,,,,,D9gLCEE13UObDovSDx27mw,21600,,,,,Aluminum Doom Roof subcontractor,P4.1.1.2.7,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
61,6961,6927,6591,,,,,k3wG6gii/kiV8zEbu+4Z1Q,21600,,,,,Instrumentation subcontractor,P4.1.1.2.8,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
62,6962,6927,6591,,,,,QL/A3OxH3UiwZkyvmDitOg,21600,,,,,Camp Facilities & Site Offices,P4.1.1.2.4,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
63,6963,6927,6591,,,,,SCOMUGNKHka3xMS+jhH6Pw,21600,,,,,Cathodic protection System subcontractor,P4.1.1.2.5,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
64,6964,6942,6590,1578,163,,,wJ+VQsy8vk+rpXqplyE+xQ,300,,,,,Fabricator,F-3,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
65,6965,6942,6590,1581,163,,,/ehmp/w8C0688enpDqYeDQ,800,,,,,Helper,H-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
66,6966,6942,6590,1576,,,,53PzlEz3/UG7fyiuJqchnA,101,,,,,Rigger,R-47,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
67,6967,6942,6590,1577,,,,RPuPTl4vqUKgtyuRgS0XgA,200,,,,,Driver,D-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
68,6968,6942,6590,1579,,,,QqjJdCoDxE60EdDb916sng,703,,,,,Welder 6G,W6-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
69,6969,6942,6590,1579,,,,NXJnRuDDD0KPgDCCxULVpQ,704,,,,,Auto Welding Operator,AW-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
70,6970,6927,6591,,,,,B9earSIpKkm/oZced7t6KQ,21600,,,,,"Platforms,Stairs & handrails (AZ Pre-fabricated works)",P4.1.1.2.17,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
71,6971,6927,6591,,,,,MHVqNusvf0qSfojY19Pz6A,21600,,,,,Delievery of the Pre-Fabricated Material to  Ma'aden Site,P4.1.1.2.18,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
72,6972,6933,6591,,,,,ZBk41nNOP0OtztXg+qkCbA,21600,,,,,"Mobilization(including Accomodation,fabrication yard, AZ equipment)",P4.1.1.3.19,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
73,6973,6933,6591,,,,,RfHR2lHO2k6PZanZmQipMA,21600,,,,,Civil works,P4.1.1.3.20,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
74,6974,6933,6591,,,,,5MXYZWJPNUe+9nAWFR9+hQ,21600,,,,,Foundation works,P4.1.1.3.21,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
75,6975,6933,6591,,,,,6bovz58XjUaZf+z/ivy2jA,21600,,,,,Annular & bottom Plates (Site Installation works),P4.1.1.3.22,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
76,6976,6933,6591,,,,,PuN4wUvjSUK4NvJu4F7kkw,21600,,,,,Shell Course #1(site Installation  works),P4.1.1.3.23,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
77,6977,6933,6591,,,,,BxeqehI93ECjGFuYp9DSNA,21600,,,,,Shell Course #2 (site Installation  works& testing),P4.1.1.3.24,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
78,6978,6933,6591,,,,,4ZKQxSQoeUW3EM7bwNV/Dw,21600,,,,,Shell Course #3 (site Installation  works& testing),P4.1.1.3.25,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
79,6979,6933,6591,,,,,8fm9/Vpdl0KPOrmf3DII0A,21600,,,,,Shell Course #4 (site Installation  works & testing),P4.1.1.3.26,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
80,6980,6942,6590,1569,,,,f7feXuYSKEGMbuQTjC0tCg,1400,,,,,Steel Workers,SW-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
81,6981,6927,6591,,,,,aAIYDZ3zMkuUDxEx88RPaA,21600,,,,,Plates Supplier,P4.1.1.2.9,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
82,6982,6927,6591,,,,,Y+WhPJqvv0+1Jp+jbZ56TQ,21600,,,,,"Profile material including(beams,Angels,Round bars,Flatbars,Checkers Plates)",P4.1.1.2.10,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
83,6983,6927,6591,,,,,DFyYG/nv50uK4tY6FBl5Zw,21600,,,,,"Pipes & fittings(including(Flanges,elbows,pad plates,pipes,nuts,bolts) supplier including Spar",P4.1.1.2.11,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
84,6984,6927,6591,,,,,eXWDqulzgU6ZmjqzY9yR0Q,21600,,,,,Paint supplier,P4.1.1.2.12,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
85,6985,6927,6591,,,,,zITjrhbqPUyVJE0jk0rCGA,21600,,,,,Raw Material Delievery to Alzamil Factory,P4.1.1.2.13,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
86,6986,6927,6591,,,,,yvOoOIXIc0OPY7YoetDeuw,21600,,,,,"Annular,buttom&sump plate Fabrication (AZ Pre-fabricated wroks)",P4.1.1.2.14,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
87,6987,6927,6591,,,,,2xFpt/T2U0emIUxpk1EP6A,21600,,,,,"Shell courses(AZ Pre-fabricated works) (#1,#2,#3,#4)",P4.1.1.2.15,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
88,6988,6927,6591,,,,,0ps5ZLnWaE+xBoY2YI36NA,21600,,,,,Shell Nozzles &manholes (AZ Pre-fabricated works),P4.1.1.2.16,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
89,6989,6933,6591,,,,,LVjmoatw+UGXjY0D6tdaGQ,21600,,,,,Hand over to Client (commissioning),P4.1.1.3.36,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
90,6990,6934,6591,,,,,TOMwhwHFeUOHkD2/jH1W8A,21600,,,,,Soil investigation sub contractor,P4.1.2.4.37,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
91,6991,6934,6591,,,,,OM2WZQgXOUm/tTCaB05msQ,21600,,,,,Engineering Design Calculations,P4.1.2.4.38,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
92,6992,6934,6591,,,,,R4UR8ts2Xk+yAgGSDl+LtQ,21600,,,,,Engineering Tank & foundation Drawings,P4.1.2.4.39,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
93,6993,6930,6591,,,,,KOigPl73skCqtyI8CfVopA,21600,,,,,Camp Facilities & Site Offices,P4.1.2.5.40,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
