,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
23,3010291,12456245,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-14 08:01,2006-12-20 08:01,,,Y,K0kSxc3iQvu70xdYo+GEfA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
24,3010292,12456246,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-17 08:00,2006-12-21 17:00,,,Y,Mo+YffHkQXiyVZnflLpAFA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
25,3010293,12456247,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-09 08:00,2006-12-11 17:00,,,Y,VfdDWxuBQs2xs1Qf6PNB5w,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
26,3010294,12456250,14517,Y,373,,1347,,,44365.78,,118159.78,56.017398989899,,0,110.22367537,0,,73794,0,,,0.00,0.00,0.00,0.00,2006-08-29 00:00,,2007-01-27 08:00,2007-05-21 17:00,2006-08-26 08:00,2007-02-25 17:00,2007-02-06 08:01,2007-06-02 08:01,Y,D8wEq4H1QaOe3ULQDPqIIQ,COST_PER_QTY,0.00,0,30,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-05-21 17:00,792,,
27,3010295,12456252,14517,Y,373,,1347,,,388.22,,2411.42,4.41159090909091,,0,9.13416667,0,,2023.2,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,,2007-01-27 08:00,2007-02-07 17:00,2006-09-16 08:00,2006-11-13 17:00,2007-05-20 08:01,2007-06-02 08:01,Y,jWK+AbMmT7yQj1D4nzBGmg,COST_PER_QTY,0.00,0,30,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-07 17:00,88,,
28,3010296,12456254,14517,Y,373,,1347,,,1466.51,,9109.15,13.0938392857143,,0,16.26633929,0,,7642.64,0,,,0.00,0.00,0.00,0.00,2006-08-29 00:00,,2007-01-27 08:00,2007-02-11 17:00,2006-08-30 08:00,2006-12-10 17:00,2007-05-29 08:01,2007-06-14 08:01,Y,wiKfBwyASTuqBc68YCtp3Q,COST_PER_QTY,0.00,0,30,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-11 17:00,112,,
29,3010297,12456256,14517,Y,373,,1347,,,298558.41,,298558.41,193.366845854922,,0,193.36684585,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-07-31 08:00,2008-04-08 17:00,2007-07-31 08:00,2008-04-08 17:00,2007-06-02 08:01,2008-02-10 08:01,Y,lQ+WdUXjRlinS0ALl8ahew,COST_PER_QTY,0.00,0,30,RT_Labor,ST_Rsrc,2007-07-31 08:00,2008-04-08 17:00,1544,,
30,3010298,12456259,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-04-24 00:00,,2007-01-27 08:00,2007-02-15 17:00,2006-05-15 08:00,2006-08-15 17:00,2007-08-06 08:01,2007-08-27 08:01,Y,Dwq6DJrzSVSdtwXVDVHG4A,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-15 17:00,144,,
31,3010299,12456260,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-04-24 00:00,,2007-01-27 08:00,2007-02-15 17:00,2006-05-13 08:00,2006-08-13 17:00,2007-08-06 08:01,2007-08-27 08:01,Y,sHcyLAd7QU6VkQJJ0+cSgA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-15 17:00,144,,
32,3010300,12456261,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-04-24 00:00,,2007-01-27 08:00,2007-02-15 17:00,2006-05-13 08:00,2006-08-13 17:00,2007-08-06 08:01,2007-08-27 08:01,Y,vsqMDieOQfm9XSXSVuuUpA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-15 17:00,144,,
33,3010301,12456262,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-04-24 00:00,,2007-01-27 08:00,2007-02-15 17:00,2006-05-15 08:00,2006-08-15 17:00,2008-03-01 08:01,2008-03-22 08:01,Y,dwcfmboMQcGwGo78U63WJQ,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-15 17:00,144,,
34,3010302,12456350,14517,Y,373,,1352,,,612,,0,12.75,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-12-01 00:00,,2007-01-27 08:00,2007-02-01 17:00,2007-01-20 08:00,2007-03-15 17:00,2007-09-22 08:00,2007-10-03 17:00,Y,Bit6e4dYRuWKcA4okUWg1g,COST_PER_QTY,0.00,0,34,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-01 17:00,48,,
35,3010303,12456351,14517,Y,373,,1352,,,612,,0,7.65,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-02-02 08:00,2007-02-15 17:00,2007-02-02 08:00,2007-02-12 17:00,2007-10-05 08:01,2007-10-19 08:01,Y,0zHWzjKbS6qu3TsoyzGJvw,COST_PER_QTY,0.00,0,34,RT_Labor,ST_Rsrc,2007-02-02 08:00,2007-02-15 17:00,80,,
36,3010304,12456352,14517,Y,373,,1352,,,612,,0,12.75,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-12-01 00:00,,2007-01-27 08:00,2007-02-01 17:00,2007-01-20 08:00,2007-03-15 17:00,2007-07-12 08:01,2007-07-19 08:01,Y,PZKWRBNoTcqQL0FzPwYHBw,COST_PER_QTY,0.00,0,34,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-02-01 17:00,48,,
37,3010305,12456353,14517,Y,373,,1352,,,612,,0,7.65,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-02-02 08:00,2007-02-15 17:00,2007-02-02 08:00,2007-02-12 17:00,2007-07-19 08:01,2007-08-02 08:01,Y,CKFlPb1yTQiI/Jn9sNAyTA,COST_PER_QTY,0.00,0,34,RT_Labor,ST_Rsrc,2007-02-02 08:00,2007-02-15 17:00,80,,
38,3010306,12456360,14517,Y,373,,1353,,,12659.41,,12659.41,52.7475416666667,,0,52.74754167,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-08-08 08:01,2007-09-12 08:01,2007-08-08 08:01,2007-09-12 08:01,2007-09-04 08:01,2007-10-31 08:01,Y,ZC8WJdFuTcSj1NZ9PierJQ,COST_PER_QTY,0.00,0,25,RT_Labor,ST_Rsrc,2007-08-08 08:01,2007-09-12 08:01,240,,
