,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
100,203,139446,769,,324,,
101,203,139447,769,,325,,
102,203,139448,769,,325,,
103,203,139449,769,,325,,
104,203,139450,769,,328,,
105,203,139451,769,,326,,
106,203,139452,769,,326,,
107,203,139453,769,,330,,
108,203,139454,769,,330,,
109,203,139455,769,,330,,
110,203,139456,769,,331,,
111,203,139457,769,,333,,
112,203,139458,769,,337,,
113,203,139459,769,,335,,
114,203,139460,769,,353,,
115,203,139461,769,,342,,
116,203,139462,769,,337,,
117,203,139463,769,,217,,
118,203,139464,769,,221,,
119,203,139465,769,,311,,
120,203,139466,769,,353,,
121,203,139467,769,,247,,
122,203,139468,769,,338,,
123,203,139469,769,,252,,
124,203,139470,769,,316,,
125,203,139471,769,,328,,
126,203,139472,769,,326,,
127,203,139473,769,,371,,
128,203,139474,769,,371,,
129,203,139475,769,,268,,
130,203,139476,769,,273,,
131,203,139477,769,,321,,
132,203,139478,769,,289,,
133,203,139479,769,,294,,
134,203,139480,769,,325,,
135,203,139481,769,,388,,
136,203,139482,769,,388,,
137,203,139483,769,,388,,
138,203,139484,769,,388,,
139,203,139485,769,,388,,
140,203,139486,769,,388,,
141,203,139487,769,,388,,
142,203,139488,769,,393,,
143,203,139489,769,,398,,
144,203,139490,769,,321,,
145,203,139491,769,,402,,
146,203,139492,769,,365,,
147,203,139493,769,,325,,
148,203,139494,769,,330,,
149,203,139495,769,,407,,
150,203,139496,769,,346,,
151,203,139497,769,,351,,
152,203,139498,769,,351,,
153,203,139499,769,,412,,
154,203,139500,769,,317,,
155,203,139501,769,,365,,
156,203,139502,769,,74,,
157,203,139503,769,,106,,
158,203,139504,769,,112,,
159,203,139505,769,,119,,
160,203,139506,769,,156,,
161,203,139507,769,,164,,
162,203,139508,769,,177,,
163,203,139509,769,,185,,
164,203,139510,769,,135,,
165,203,139511,769,,198,,
166,203,139512,769,,141,,
167,203,139513,769,,206,,
168,203,139514,769,,143,,
169,203,139515,769,,219,,
170,203,139516,769,,148,,
171,203,139517,769,,174,,
172,203,139518,769,,190,,
173,203,139519,769,,190,,
174,203,139520,769,,190,,
175,203,139521,769,,227,,
176,203,139522,769,,211,,
177,203,139523,769,,211,,
178,203,139524,769,,211,,
179,203,139525,769,,249,,
180,203,139526,769,,258,,
181,203,139527,769,,198,,
182,203,139528,769,,198,,
183,203,139529,769,,198,,
184,203,139530,769,,198,,
185,203,139531,769,,198,,
186,203,139532,769,,198,,
187,203,139533,769,,241,,
188,203,139534,769,,241,,
189,203,139535,769,,241,,
190,203,139536,769,,200,,
191,203,139537,769,,205,,
192,203,139538,769,,209,,
193,203,139539,769,,219,,
194,203,139540,769,,219,,
195,203,139541,769,,219,,
196,203,139542,769,,219,,
197,203,139543,769,,219,,
198,203,139544,769,,219,,
199,203,139545,769,,262,,
200,203,139546,769,,262,,
201,203,139547,769,,262,,
202,203,139548,769,,270,,
203,203,139549,769,,221,,
204,203,139550,769,,226,,
205,203,139551,769,,212,,
206,203,139552,769,,279,,
207,203,139553,769,,239,,
208,203,139554,769,,249,,
209,203,139555,769,,249,,
210,203,139556,769,,249,,
211,203,139557,769,,249,,
212,203,139558,769,,249,,
213,203,139559,769,,249,,
214,203,139560,769,,283,,
215,203,139561,769,,283,,
216,203,139562,769,,283,,
217,203,139563,769,,242,,
218,203,139564,769,,252,,
219,203,139565,769,,256,,
220,203,139566,769,,260,,
221,203,139567,769,,291,,
222,203,139568,769,,270,,
223,203,139569,769,,270,,
224,203,139570,769,,270,,
225,203,139571,769,,270,,
226,203,139572,769,,270,,
227,203,139573,769,,270,,
228,203,139574,769,,263,,
229,203,139575,769,,295,,
230,203,139576,769,,273,,
231,203,139577,769,,277,,
232,203,139578,769,,315,,
233,203,139579,769,,315,,
234,203,139580,769,,315,,
235,203,139581,769,,281,,
236,203,139582,769,,291,,
237,203,139583,769,,291,,
238,203,139584,769,,291,,
239,203,139585,769,,291,,
240,203,139586,769,,291,,
241,203,139587,769,,291,,
242,203,139588,769,,284,,
243,203,139589,769,,294,,
244,203,139590,769,,311,,
245,203,139591,769,,309,,
246,203,139592,769,,324,,
247,203,139593,769,,324,,
248,203,139594,769,,312,,
249,203,139595,769,,330,,
250,203,139596,769,,316,,
251,203,139597,769,,323,,
252,203,139598,769,,323,,
253,203,139599,769,,323,,
254,203,139600,769,,323,,
255,203,139601,769,,323,,
256,203,139602,769,,323,,
257,203,139603,769,,324,,
258,203,139604,769,,325,,
259,203,139605,769,,325,,
260,203,139606,769,,325,,
261,203,139607,769,,328,,
262,203,139608,769,,326,,
263,203,139609,769,,326,,
264,203,139610,769,,330,,
265,203,139611,769,,330,,
266,203,139612,769,,330,,
267,203,139613,769,,331,,
268,203,139614,769,,333,,
269,203,139615,769,,337,,
270,203,139616,769,,335,,
271,203,139617,769,,353,,
272,203,139618,769,,342,,
273,203,139619,769,,337,,
274,203,139620,769,,217,,
275,203,139621,769,,221,,
276,203,139622,769,,311,,
277,203,139623,769,,353,,
278,203,139624,769,,247,,
279,203,139625,769,,338,,
280,203,139626,769,,252,,
281,203,139627,769,,316,,
282,203,139628,769,,328,,
283,203,139629,769,,326,,
284,203,139630,769,,371,,
285,203,139631,769,,371,,
286,203,139632,769,,268,,
