,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
6676,91057,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268340,   ,2290,3616,16,40,0,74.08,74.08,40,1085.6,0,1085.6,,,,2010-02-16 08:00,2010-02-21 17:00,,2008-07-28 08:00,2008-08-02 17:00,2008-07-28 08:00,2008-08-02 17:00,2008-07-28 08:00,2008-08-02 17:00,,,,,PT_Normal,,,,,Ysb8q5Q7+kG6NtYRrNW+6Q,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6677,91058,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268350,  ,2290,3632,32,24,0,49.6,49.6,24,1250.88,0,1250.88,,,,2010-02-18 08:00,2010-02-21 17:00,,2008-07-28 08:00,2008-07-30 17:00,2008-07-28 08:00,2008-07-30 17:00,2008-07-28 08:00,2008-07-30 17:00,,,,,PT_Normal,,,,,sjMU2OW3oUCxYDCxQ0XYsw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6678,91059,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268370, ,2286,3600,0,64,0,8,8,64,50936,0,50936,,,,2010-02-18 08:00,2010-02-27 17:00,,2008-08-02 08:00,2008-08-10 17:00,2008-08-02 08:00,2008-08-10 17:00,2008-08-02 08:00,2008-08-10 17:00,,,,,PT_Normal,,,,,TSk9BWLFkUe4IWCH7BE+Vg,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6679,91060,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268380,   ,2286,2808,0,80,0,0,0,80,98392,0,98392,,,,2010-02-18 08:00,2010-03-01 17:00,,2008-12-20 08:00,2008-12-30 17:00,2008-12-20 08:00,2008-12-30 17:00,2008-12-20 08:00,2008-12-30 17:00,,,,,PT_Normal,,,,,uNBhBaUDVkevccVaZwh8zw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6680,91061,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268390,  ,2299,2808,0,56,0,2464,2464,56,38952,0,38952,,,,2010-02-10 08:00,2010-02-17 17:00,,2008-11-29 08:00,2008-12-06 17:00,2008-11-29 08:00,2008-12-06 17:00,2008-11-29 08:00,2008-12-06 17:00,,,,,PT_Normal,,,,,yAkEFq+R1E2Wv+Nlj2MhWQ,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6681,91062,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268400,   ,2286,3600,0,56,0,408,408,56,3936,0,3936,,,,2010-02-22 08:00,2010-03-01 17:00,,2008-08-05 08:00,2008-08-12 17:00,2008-08-05 08:00,2008-08-12 17:00,2008-08-05 08:00,2008-08-12 17:00,,,,,PT_Normal,,,,,1ayvMkxED0Gyj7KN0ewoLw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6682,91063,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268410, ,2286,2848,40,40,0,8,8,40,714.08,0,714.08,,,,2010-02-24 08:00,2010-03-01 17:00,,2008-12-20 08:00,2008-12-24 17:00,2008-12-20 08:00,2008-12-24 17:00,2008-12-20 08:00,2008-12-24 17:00,,,,,PT_Normal,,,,,HsBwyo8z6EGbyBJ4JjxIAg,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6683,91064,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268420,  ,2306,3600,792,56,0,192,192,56,250008,0,250008,,,,2010-03-02 08:00,2010-03-09 17:00,,2008-08-13 08:00,2008-08-20 17:00,2008-08-13 08:00,2008-08-20 17:00,2008-08-13 08:00,2008-08-20 17:00,,,,,PT_Normal,,,,,dqdBgM+dCEqROdaMmdumRQ,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6684,91065,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268430,  ,2286,3744,144,32,0,8,8,32,81229.28,0,81229.28,,,,2010-02-17 08:00,2010-02-21 17:00,,2008-07-10 08:00,2008-07-14 17:00,2008-07-10 08:00,2008-07-14 17:00,2008-07-10 08:00,2008-07-14 17:00,,,,,PT_Normal,,,,,LHNQNVxut0SjQSI1ZNQCAA,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6685,91066,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268480,  ,2286,2808,0,56,0,8,8,56,356104,0,356104,,,,2010-03-02 08:00,2010-03-09 17:00,,2008-12-31 08:00,2009-01-07 17:00,2008-12-31 08:00,2009-01-07 17:00,2008-12-31 08:00,2009-01-07 17:00,,,,,PT_Normal,,,,,I4cDmPLM6kqhHLst50Xt7w,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6686,91067,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268490,  ,2344,2808,0,120,0,16,16,120,5040,0,5040,,,,2010-03-10 08:00,2010-03-27 17:00,,2009-01-08 08:00,2009-01-25 17:00,2009-01-08 08:00,2009-01-25 17:00,2009-01-08 08:00,2009-01-25 17:00,,,,,PT_Normal,,,,,/BKK5PUFX06Bz2UUSpmbwA,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
