,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
104,13515,13420,12845,,,,,Bda6Zw3e1E2q94g7DnX8vA,801,,,,,FACADE DIAMOND GLASS,LAB FAC. DG,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
105,13516,13420,12845,,,,,Avnt9GsrAUqWcBrhpIZ48g,901,,,,,FACADE BACK PAINTED BUTT GLAZED,LAB FAC. DG3,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
106,13517,13420,12845,,,,,Jx/fxHanBkeeWw2eye14OQ,1001,,,,,FACADE GLASS BOX,LAB FAC. GB,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
107,13518,13420,12845,,,,,putTWuzCOUeh1lqvGIApvQ,1101,,,,,FACADE GRANITE VENEER,LAB FAC. GV,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
108,13519,13420,12845,,,,,R5tMrAtNb0Sz7V21v0UC2g,1201,,,,,FACADE LOUVER & GRILL,LAB FAC. LG,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
109,13520,13456,12845,,,,,b2GemVYNYUujodFc+2C9yA,1,,,,,ASSORTED WALL FINISH,LAB WALL AST,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
110,13521,13456,12845,,,,,JB7hWpfg70uaB5Cs3QLxiw,0,,,,,WALL PAINT,LAB WALL PAINT,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
111,13522,13420,12845,,,,,xZ8bopduPkOE/hpQxS6Z4g,1601,,,,,FACADE METAL PANEL MWP1,LAB FAC. MWP1,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
112,13523,13420,12845,,,,,6WoAcOX9nkO0Bc/odD5JdA,1501,,,,,FACADE STONE PANEL 1,LAB FAC. S1,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
113,13524,13414,12845,,,,,qk5Nb3IrHk6djPDip2Kf7A,3,,,,,ELECTRICAL,LAB M.ELEC,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
114,13525,13414,12845,,,,,mdZfAxWdekSMHlpRY0C26Q,101,,,,,PLUMBING,LAB M.PLUM,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
115,13526,13414,12845,,,,,AOQk8CLURUS0A+xDtNISPQ,2,,,,,MECHANICAL,LAB M.MECH,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,<HTML><BODY></BODY></HTML>,,,
116,13527,13420,12845,,,,,Vxz4KT4g902cHfPCqsZL+g,101,,,,,FACADE CURTAIN WALL 3,LAB FAC. C3,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
117,13528,13415,12845,,,,,WT+3tx7rgEWBylTmt0iUoA,0,,,,,FACADE TOTAL QUANTITY m2,QTY FAC. ALL,,1,QT_Hour,,Y,Y,Y,N,1,414,RT_Mat,,,,,
118,13410,,12845,,,,,CH+9wVDb/EWAMO2z1KewTA,0,,,,,CCAD Quantities & Manhours,CCAD Project,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,,,
