,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
567,41196,8788,540,311,N,N,WS_Open,05,TR Room,,40810,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,l+vs+i1E4UmNhS/huEincw,tiQbrg2h/EGhuaOF3wj1qQ,
568,41197,8788,540,205,N,N,WS_Open,05,Public Area ( Elev.Lobby & Corridors ),,40791,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RIhpFFxQtkinoB45xCi5bQ,,
569,41198,8788,540,2,N,N,WS_Open,03,PAT RM-2,,40790,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,nKkt3DhZqk6T1Omx/+1FBQ,F4bmyTLXdEefb5CPyVp2eA,
570,41199,8788,540,8,N,N,WS_Open,BP3,PARKING AREA : Zone PB-3,,40801,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,NGMU46nHQE6qklDFZKqyig,DyiObBSeEkS2xvOK9HjgKw,
571,41200,8788,540,100,N,N,WS_Open,01,Structure & Envelopment,,40672,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0aYxY26OL02JUvZq7Wwi5A,BXmeg2+QFkq/IICdLqFp9Q,
572,41201,8788,540,1,N,N,WS_Open,02,Roof,,40799,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,csrGerFZwUiDjskoGZzxPg,,
573,41202,8788,540,1203,N,N,WS_Open,03,Solar Panel,,40799,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,HaG8NnuyekSfSB8CjbNwAA,,
574,41203,8788,540,0,N,N,WS_Open,01,Structure & Envelopment,,40799,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,B6Dsb+z8jUy8gy/SzE740g,0s3KHWXDMEmRct72stINhQ,
575,41204,8788,540,10,N,N,WS_Open,BM2,MECHANICAL ROOMS (1 NOS.) : Zone PB-2,,40801,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,oH88HWAV9km5yTrVuwiNDQ,fU63OIYaoUOYMhpCA4ODYw,
576,41205,8788,540,0,N,N,WS_Open,01,Structure & Envelopment,,40718,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WL5qWGhzJUOr78s9J+qVww,0alV2yHt1kSQIMATII0vDg,
577,41206,8788,540,1,N,N,WS_Open,01,Structure & Envelopment,,40787,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,mKECgwumbE+JWGRnkwoa2Q,0s3KHWXDMEmRct72stINhQ,
578,41207,8788,540,6,N,N,WS_Open,BP1,PARKING AREA : Zone PB-1,,40801,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,NR26gKjAwk+FV1BpwEyqzQ,DyiObBSeEkS2xvOK9HjgKw,
579,41208,8788,540,0,N,N,WS_Open,01,Structure & Envelopment,,40748,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,aG5JEFExhEmK1iICLs5dmQ,AZZgJ5tOWUyVW3xw5jYYEw,
